C1,C2,C3,C0=D3,D0,D1,D2
57696,63184,2822,29340,85063,34502,61259
56816,47303,76435,74041,60683,17292,38019
44218,11807,44374,55326,97492,12502,25632
94174,50474,48621,79517,66615,25693,96380
42697,22105,1751,97679,22350,78344,3235
40511,39185,35656,60764,98029,93752,35870
64950,84281,23647,78209,14167,96040,71611
44866,79763,41329,2356,19213,53481,5449
23391,56022,6930,5224,58981,12334,25157
18734,10926,21966,40378,84274,19094,31386
51529,73188,54025,47483,9088,91534,54054
55768,8885,78403,98064,80405,76961,91624
69246,65413,90700,43714,4446,7614,89065
5524,31107,42809,58129,75935,97415,6052
76772,70772,72241,26663,55342,41795,13890
83913,65999,13717,73312,67109,20925,37316
78123,94763,18925,74887,2142,8144,95320
57408,28853,26035,2722,92115,41900,23134
24847,118,66231,98443,24982,75047,19300
94242,94767,36227,64168,18223,3502,75518
57408,28853,26035,2722,53952,28660,26173
44218,11807,44374,55326,24376,83487,6218
51,53521,22093,16283,31489,652,85247
38340,35478,51870,75438,55086,56002,35004
88185,89303,50850,23542,49751,8044,14858
44218,11807,44374,55326,98349,16689,11631
1974,95693,59027,24851,4148,5328,69100
59464,28001,52851,40657,94395,3277,20073
98990,76530,12071,3251,32389,61236,80209
92610,60424,38810,14207,74660,46924,303
46262,90359,15538,64389,37701,98354,25773
77843,78988,55259,53859,48193,96010,59379
27918,68777,66971,58526,13921,26886,86347
27019,97355,67213,60243,2367,60120,57789
98310,74853,10486,99723,86581,24945,66462
89726,61337,27751,5176,3746,24642,92369
98310,74853,10486,99723,33193,11716,45100
8866,83415,43299,21849,67403,96088,9733
4230,20181,5667,22936,53592,32009,20565
10690,13892,28112,76571,36591,61151,92678
44689,72975,42606,2262,6700,70771,8616
54763,94517,75345,4049,31965,98555,787
66765,47878,54006,42406,64266,4981,20968
44391,93097,40022,4806,5709,21526,73236
48358,7159,5081,22437,84727,60237,26195
6364,89197,20917,45296,231,42152,44339
58732,68258,59339,55222,56419,56928,93110
68558,82907,18850,83983,53299,21253,47948
30408,74864,44243,85041,90362,6678,21940
98279,80626,62617,70958,25515,61584,77070
94174,50474,48621,79517,79256,33653,82116
64950,84281,23647,78209,45986,18721,2723
95050,55345,68144,58076,60217,99982,21522
6364,89197,20917,45296,72021,62232,93735
58674,34589,98406,71291,13997,43723,76901
63357,25253,97921,16749,38616,19284,5268
10690,13892,28112,76571,56983,59895,8167
14926,18956,33992,65492,54266,21765,12672
2920,9674,63316,18005,50614,58622,96342
88372,49256,79260,37759,84310,75708,29308
16591,45030,25917,41083,58662,90485,8971
74804,93409,95881,64500,7146,8379,14078
91857,15008,20363,20743,13010,44218,52622
74025,3958,11938,48947,68873,99283,87177
4537,24262,35586,10031,57347,73156,62217
99774,24434,7000,61475,83968,48306,80342
72454,73842,73073,76623,68182,35117,16535
69241,17258,71103,70536,71720,80799,75483
750,34,17670,74223,54027,4086,81941
46563,91292,97069,24283,40079,18780,85056
62697,60152,22780,52431,7795,46395,91735
68642,90160,85004,31398,92763,60142,40189
46935,6842,90253,51473,35761,72135,50755
46202,65588,68240,91615,9413,80971,7129
37705,97136,28385,58189,81236,68624,6442
99211,31665,52147,25996,59632,89832,94409
25102,57068,92823,70487,64244,36282,86586
78260,17941,68991,26181,98580,12436,31677
70804,24330,79251,20894,84383,78955,94913
7159,88335,93979,75311,22300,39645,30544
59880,37307,97064,64310,93441,9172,25144
21833,26612,22119,29762,77523,64855,5292
1146,4317,16419,33291,17964,54677,44173
74025,3958,11938,48947,56875,10973,78606
12313,88934,63985,92031,90995,65754,43527
46935,6842,90253,51473,19159,18821,41766
12137,53422,80509,14130,69491,4894,55895
12487,91071,34315,251,16314,93419,15294
17126,1813,86797,165,9993,52084,31481
49977,47410,50842,78222,3470,94083,29126
69903,61025,21992,16759,70272,29659,83416
97448,63410,64481,91309,78329,93069,11032
61006,15912,84632,47403,56207,57838,81992
88772,40866,37232,50119,78462,98481,88142
88772,40866,37232,50119,71135,82015,33167
63141,46520,49049,65637,10005,38253,17647
27893,50841,87269,6356,24248,15035,12137
34846,83136,69051,92632,46049,22239,47875
33941,38207,22881,67279,75957,25502,65339
7988,95113,63568,55026,23807,31477,98610
61844,62607,2094,24788,31275,71195,63002
11057,34437,44587,39358,55888,98589,68586
82855,49794,6588,21575,52840,6195,34838
49550,66643,88649,21957,35930,60714,3376
74132,81961,82057,43657,23656,41034,51510
17126,1813,86797,165,8828,92481,90499
68258,42008,94910,74119,60361,91103,16306
20102,32885,29170,45204,16478,72631,43156
1600,46281,18412,47994,8435,27155,26775
97152,3782,2747,73220,57418,61559,95188
37061,92096,43148,88564,4122,72414,60885
38500,32645,32077,45891,7765,59971,17361
74804,93409,95881,64500,58337,77955,74867
27094,68456,8907,76104,40918,9135,21446
28749,78774,74333,48441,57853,84906,76245
71737,6581,89565,36748,1148,28413,7991
35736,16442,46177,98393,67477,88405,16254
43557,21848,3417,21017,27725,54505,84241
37705,97136,28385,58189,23372,81384,77094
25741,40044,59457,17967,79841,85318,32017
97648,43683,9909,426,5602,32390,12187
25377,59804,83239,48639,80097,34470,17839
58572,71487,64397,98158,93356,71840,28371
42734,18007,74210,45993,80023,73615,54195
48966,25546,50925,72515,81499,54660,43450
75108,72998,43742,43364,45245,64508,11473
13579,87331,78755,69627,74130,17928,60687
10536,71883,87526,79517,66615,25693,96380
45110,13306,2552,59563,69769,84010,59557
74042,42601,8608,22867,97295,40284,48518
93104,18036,25296,76813,93838,59767,19831
70601,10331,23548,15828,59371,99757,32451
