B1,B2,B3,B0=D3,D0,D1,D2
1972,31649,65042,94588,53083,74794,53928
18904,14830,36251,30421,81199,17253,1066
3793,62203,82120,92298,55331,41611,11246
12351,50818,35258,3844,36658,32582,19571
28591,84821,65869,77575,59862,5052,87963
24406,79613,99840,47562,30683,39003,56906
55758,88464,30838,50012,1123,37027,74838
52785,90749,28652,29040,43234,10985,57624
64590,13269,42156,74630,46789,42129,90054
29124,93810,88130,99536,65117,58684,55667
99385,55620,59630,1981,8624,42078,64267
47800,95631,46898,53944,21361,89064,17503
4680,95635,63179,3457,47481,6160,76239
85154,88137,32465,29731,56470,96030,47228
74779,27110,48432,88533,33652,71649,92409
74557,8054,35900,44805,82155,80104,42337
32328,10764,41177,12751,31284,18591,17142
70378,7105,57981,65061,1859,54051,46142
86414,81733,55279,3097,37685,55803,70290
12931,47658,55186,57018,70990,42175,8755
68078,5872,72969,54816,50987,27117,48817
41322,66439,69682,17417,18479,22069,68921
97626,51879,24225,62677,30416,99391,79161
51875,73966,35816,95681,75771,6714,26716
66249,48818,34160,32479,69048,68170,26410
16645,82727,84938,22759,35558,3492,38367
13751,40342,46443,91146,14933,9540,21966
71403,27799,44396,70362,77938,87341,5776
38973,19158,28419,75721,10069,24118,64792
99966,92153,31287,48891,16697,58385,21128
12351,50818,35258,3844,81735,22524,84031
37688,37679,6756,75288,95182,17143,74023
42708,16232,44261,87385,63842,38571,84704
17574,94949,5600,57285,67682,51178,50764
86555,65600,53339,99506,84868,89447,65814
48284,37169,39192,69341,46563,41318,57264
95400,53954,16216,41241,82867,29203,15936
65642,51189,33129,30296,79219,82893,63955
73597,37162,79519,73457,42643,76152,68499
44867,33080,42180,19592,16976,47922,37744
39584,74188,41365,8335,24515,17267,69111
81891,12356,36262,80505,33280,2618,56886
41482,77488,62259,7092,98935,2804,44486
98448,92502,13498,44957,51656,56173,10245
90775,72371,72738,74677,2639,93557,35309
61938,84208,64074,2631,35690,23532,76919
79529,5941,10221,61365,7038,33969,6692
41482,77488,62259,7092,55216,39798,83947
18904,14830,36251,30421,90097,88969,11549
71559,34731,69499,91164,35416,47511,95912
37159,88065,49559,13986,79512,1746,24375
34651,22125,33765,6667,49366,7561,85644
37211,5705,80698,17348,299,54466,67444
35971,62372,10078,15070,29609,14055,14955
85480,5447,25695,90531,84429,1123,2337
91057,79903,3167,79373,35299,20538,93642
36407,32576,65399,56235,38432,21429,97374
1972,31649,65042,94588,67364,87767,39493
1675,47454,12239,25865,64319,81131,65527
82412,57945,22158,5418,13770,37261,2869
77449,62750,49442,14799,29755,34920,10625
90769,86299,86097,85865,99719,51488,90402
3789,72035,10231,76704,52581,20251,49098
21759,92966,8867,17653,67431,57858,54127
99733,37928,27982,72877,77655,1655,25981
22126,64979,55639,25597,92015,959,24949
8296,16497,99906,20972,6995,11499,82555
91098,81911,13388,93848,32309,29650,56910
18666,56145,46906,24260,67761,29416,25210
31206,46280,55054,95213,19688,48318,96362
32842,14937,55494,70763,57876,252,2136
71558,46546,61858,25607,17581,62995,95410
97229,91619,15287,29255,25810,4498,86815
23113,26775,50,73757,63053,34505,79230
74201,91726,99431,60473,59461,68501,52754
71552,99865,74785,12741,82957,39033,29014
23515,14492,95017,17107,73966,81216,33420
17606,97077,94847,66120,54361,34798,54872
