A0,A1,A2,A3=E0,E1,E2,E3
3097,73993,18850,24161,34024,95646,62561
21793,3213,38742,72718,45856,99793,77088
90340,32232,92166,49738,35488,99748,77715
11943,39716,7172,43769,88887,78685,38698
71016,68797,46717,55191,54506,69402,73595
84769,67742,12114,64434,69399,34369,13388
53804,51157,79842,9488,35417,87550,94138
98352,29871,82562,27397,90215,45193,4142
30888,80373,87302,49744,22410,45873,57738
52115,12583,94499,40158,3512,18353,45448
92178,19904,59627,22532,27643,28141,90298
5792,59048,75585,2198,36563,84131,88854
47157,36065,76238,54320,53375,16854,83600
8852,9797,90566,80388,21298,46841,61362
75625,80280,11027,93500,74588,71654,73444
56758,99249,40557,66327,23327,4647,98196
99027,37781,42543,15686,56762,47856,34957
68723,3423,99747,51448,92322,50137,77967
2227,16433,35712,48986,45030,58356,94311
76264,99903,21869,57142,44057,94060,44011
34744,54200,57406,63219,77064,21951,26409
57444,85875,99039,82682,35379,8041,97209
85377,91545,2177,30099,19977,81854,22891
93252,96617,53412,78050,45197,23528,44950
98999,80848,38684,21582,16360,45794,40653
93252,96617,53412,78050,46861,51399,2908
57172,70856,57129,53694,22183,41789,90385
63489,64113,29023,98943,34396,65354,85748
8852,9797,90566,80388,62318,67520,49112
43754,52427,28766,25717,60185,62312,44039
67729,37074,39865,72748,68100,28516,51007
16263,54917,17188,36510,92311,48918,18134
63489,64113,29023,98943,79025,58109,37231
49110,14529,17293,45928,60214,94607,60835
55752,31894,46510,28635,6664,69974,40205
8852,9797,90566,80388,20961,34925,8797
65090,5500,40407,59107,96449,88614,7932
62365,35626,43641,79968,28291,77009,5045
66074,43651,82312,38572,84933,31221,53548
68723,3423,99747,51448,55616,9215,58803
52115,12583,94499,40158,50232,49779,28341
34776,67405,80323,45640,90441,78597,50937
34434,95134,30208,39111,31692,42644,60850
40946,82483,39819,53091,60442,33473,2110
34744,54200,57406,63219,7107,96504,37547
45205,69540,64882,60877,45971,14682,10978
95709,21904,36375,61165,40061,83703,30580
92178,19904,59627,22532,8072,30779,62341
83993,67930,99540,35667,26297,28973,59507
4273,60845,29353,71314,60129,92775,41046
75625,80280,11027,93500,65010,2425,42317
57172,70856,57129,53694,74068,93667,27942
16263,54917,17188,36510,72355,3182,22699
26267,25986,22894,5972,4956,97092,27206
59375,21118,70966,7315,72197,88942,49593
53804,51157,79842,9488,25533,77901,90275
52115,12583,94499,40158,74892,35824,46955
98016,43832,20629,83546,73787,16980,71936
30557,5056,8556,55183,42794,51215,65368
28995,96060,43166,97769,64236,66486,66845
82535,3904,10257,66557,95900,86604,7875
39649,65044,97410,95336,49210,58836,42775
11803,78148,86622,13023,24428,11530,81534
