B0,B2,B3,B1=B2,B0,B1,B3
70525,83569,53043,86787,62589,98524,16959
47849,61671,38182,61971,10009,19357,95087
22720,11943,70956,296,77998,70073,63593
47779,41740,58480,63308,11265,17982,7801
27039,25885,15553,40357,59436,67727,77897
59057,11295,98178,78059,50900,7573,22331
98004,3681,10099,32729,43761,83131,78855
14302,89452,52754,10966,25792,27868,60271
2586,86245,25282,22973,24855,1680,51625
68713,75084,26371,78572,64697,68623,95242
8903,19484,16176,99921,62307,49977,18438
81936,20557,80152,21185,24321,15137,84706
46881,97301,59911,38682,96985,71028,39128
87404,96655,26257,7439,70322,71956,72132
27555,64922,20649,77861,13348,46839,61658
9888,65039,22997,70799,75861,81350,59443
65112,18436,54028,7256,17389,56960,27319
60774,47612,84442,42957,98967,83736,92036
59814,82026,98107,95226,57533,21223,81682
89028,6371,4729,49796,90495,29017,93936
20075,99621,24499,93151,66279,57078,57835
23378,99588,46289,60691,94228,66884,86480
31958,33824,87142,74727,21100,49268,15262
97094,6907,40897,8711,66951,58905,12598
34214,41489,3599,94584,12428,38715,84715
34443,80174,89134,30930,33967,15560,18300
80753,55613,45590,2617,91467,274,25127
69881,82611,49980,83962,67929,73748,29699
97094,6907,40897,8711,80731,50860,44553
69881,82611,49980,83962,74607,50829,45076
95376,12794,82001,68933,89019,79660,51628
8092,84807,55605,81977,53989,84558,85273
68625,3643,61599,34996,60783,51890,27892
43504,88413,70475,9131,18916,29908,5839
51259,26377,44880,62488,84459,6662,56348
84362,74039,3287,88866,22314,39849,36
72276,22230,78678,70336,41666,63284,62702
12148,76448,97615,57794,56968,95015,19545
7993,27357,37629,42474,68206,80007,52774
91412,58674,82940,88828,3391,20704,39471
39837,33796,7434,21254,53678,25955,80118
75655,64863,37490,16328,38351,72500,87219
94779,42102,15029,79013,99512,66203,82911
83496,7617,29985,84690,11646,63517,79455
4401,11152,55887,95191,31373,63718,2088
35616,69698,61538,10572,21034,39267,84648
47408,81349,79971,59794,96775,43025,34477
30905,40992,38313,2938,82406,78052,98558
88679,45327,61542,1739,88607,35806,61240
57743,23310,17194,74039,84362,88866,3287
74400,31743,37649,84460,45240,97205,74286
70890,16405,39847,27521,22109,90102,27951
4613,67114,11854,26395,69259,88971,44932
35939,40250,76204,87790,92158,45652,24199
77714,43711,28990,42698,70167,5696,24966
98007,36812,94433,50918,66009,64197,64837
31481,21716,6471,86828,30424,62328,13058
9495,51762,14159,50269,25003,66631,18273
92841,95027,89318,24552,54573,31506,45469
70453,54676,18907,70008,19007,18742,87558
48871,95870,15350,3431,70861,85156,66698
41836,20694,18727,13249,69403,57999,61904
77714,43711,28990,42698,18420,2609,62076
44835,51089,30525,87790,92158,45652,24199
92158,87790,24199,45652,68638,57013,48486
85640,77384,75002,95577,95484,54910,53776
57825,72271,94935,51533,58957,83157,89086
55277,73829,91305,64853,29503,75773,5076
91966,19428,72637,62053,16857,22124,99207
59645,98224,49709,83489,47499,47198,41501
13007,26266,72465,46445,10210,9786,27143
62545,76336,34181,99418,94488,2024,86487
28727,41808,47422,40754,83259,85567,47859
50670,90555,32954,52558,78614,33779,27645
61544,16036,40598,66454,41043,69565,75404
81720,50479,47235,19773,51179,12032,92899
85943,50163,73347,2200,53204,43972,81130
50670,90555,32954,52558,53476,53109,71125
53862,17167,45540,88198,81203,31537,4079
22681,44917,73249,34786,80424,31593,57667
38766,77083,35172,9041,74469,96905,62369
12838,32917,22022,72598,2554,30009,48337
48481,73433,50621,58007,94464,14552,75549
55467,62295,22745,30683,72523,1539,84890
33837,57872,82239,52604,78465,85804,84257
13348,77861,61658,46839,81463,10360,68759
82418,13170,53327,82992,31773,16734,46870
55468,30531,6534,79241,92861,81746,33995
68063,884,87871,78292,18628,14655,67754
10444,90103,64442,66552,46304,16400,80933
18611,63611,27974,48787,14411,67560,64155
68872,35627,91181,41187,31953,56735,94368
99940,53954,76784,24619,24613,35482,75532
29227,11008,37518,72271,57825,51533,94935
35922,5908,88605,39661,18953,6153,48723
66373,97931,62673,41032,92340,97685,399
83468,17110,44872,38036,45548,79652,55267
35471,92489,80909,32065,58809,9636,73109
29227,11008,37518,72271,8173,52527,20934
43490,30647,87401,50618,78977,63074,12652
47335,44526,37454,1147,46748,16257,9664
35922,5908,88605,39661,17268,85281,90073
81173,35201,13894,74394,98686,80220,70910
70167,42698,24966,5696,93175,78111,82037
67858,62806,12496,93742,72102,77261,39438
42379,42773,25984,15152,38272,41952,28069
7627,52084,75369,24856,90890,32644,89829
81658,2383,84055,85927,68070,39624,70685
76560,91616,17984,79431,21432,43814,35405
34251,88692,55698,41410,12942,67317,82497
27977,30170,5373,59545,3001,20044,62242
81030,18360,51363,31183,5134,15386,41321
59793,58920,43888,67109,99841,43586,21996
68381,85376,29845,4972,88077,75819,16321
52890,6304,73731,44337,96829,26810,24445
90140,6180,81591,92861,1087,93206,64371
85097,59770,17034,15661,65216,21967,17612
60681,14989,35348,10158,60398,77652,24008
893,12762,98403,59141,12219,42774,6379
6116,28848,24439,61755,13153,22367,15104
33350,24821,96552,77153,33478,86039,40410
36073,33055,25544,62882,54532,20006,30839
49115,28898,64673,36774,72910,62046,10838
89702,16970,78081,34399,51369,62172,58369
81391,19880,53097,54606,53863,73621,63608
80127,31499,8356,38080,88018,78777,1637
90131,24203,11818,71951,41750,5542,17284
44028,11965,2674,6228,5827,47654,65203
47233,83310,62022,44420,9146,37900,92276
57204,49403,62101,68711,87995,9920,35187
29239,84608,71658,51964,50920,90557,69657
56888,43722,9938,32065,58809,9636,73109
2497,78692,25731,17141,85899,62686,32568
17701,36746,70458,31672,24390,78993,89479
36370,54359,75443,13081,30126,22941,99677
2164,87758,21859,31067,25169,31295,36755
17701,36746,70458,31672,91723,43094,79595
96845,53757,78307,11776,94576,97624,21616
6147,67225,54122,34446,39950,70963,2006
26028,27650,85018,3923,8650,87793,27649
28563,87231,65277,38682,96985,71028,39128
5285,96431,31788,19871,42347,54256,36055
17139,78229,62483,30242,90309,76784,91973
9830,3528,62943,41872,60156,56886,59112
23675,35897,85128,40881,18668,21912,98846
1206,91355,78682,88802,957,84362,71046
1206,91355,78682,88802,72731,66683,27597
24755,25422,94400,71999,35787,77344,73300
44558,88943,61881,76454,67068,1286,42222
96620,43995,16549,7185,95122,50707,99599
24013,49108,28884,86973,86559,44266,51164
69735,3390,28058,83842,56454,89066,41455
31308,14835,73716,35876,62467,87238,72909
25750,96911,73012,90888,50339,74418,1776
73061,29065,73596,80280,47209,81009,38520
55499,39675,33571,51867,63053,9460,23975
2481,36978,10547,99,11818,10560,55860
82482,68826,81040,61350,46211,58552,5560
47219,83528,50618,85869,59643,80083,86326
