D0,D1,D2,D3=C0,C1,C2,C3
32658,63207,72639,59,97320,721,13223
62977,16797,1988,107,76344,16907,62713
97486,47698,3445,134,35517,42028,46058
85332,49485,55572,214,27344,80693,48802
44087,27703,81638,400,99132,64636,49458
35025,86303,64971,477,5353,32461,42212
52814,55526,35153,530,70490,37631,54503
11663,96930,26667,531,51505,86944,62226
79874,20393,69509,558,68064,53194,30534
71783,93221,17544,593,83901,35760,16447
11568,68982,71632,728,75580,95251,99937
48967,30978,54181,729,82856,28434,61834
98271,39999,91987,845,97557,61656,12195
88379,73494,26048,919,89999,86183,56814
88379,73494,26048,919,84712,42706,41385
76876,27660,32341,1070,52984,23522,28062
89107,31991,37522,1134,32944,74460,83697
56533,98007,92343,1134,45396,82248,15916
3174,60166,14910,1241,90430,16273,95441
57594,80898,70797,1310,76198,28180,20394
34060,12472,51786,1325,25870,90924,80639
20599,82946,52460,1325,48045,72008,15967
8824,22239,53346,1333,48045,72008,15967
7446,96885,73638,1367,99304,658,38081
20754,56216,78318,1379,6044,30997,57132
89984,27694,53613,1488,12726,92330,24284
86128,89559,4844,1488,5721,99327,58542
79935,15505,41230,1517,29931,54893,1298
95318,14572,51460,1624,63389,81504,27334
30916,7316,3635,1628,50691,19968,24936
50481,19849,92449,1732,28716,68438,3550
81416,41579,76797,1744,75731,71380,74772
50256,78481,69084,1779,32556,31465,80427
62706,45684,22523,1824,32683,44682,24490
92426,7106,79818,1838,55665,63395,10662
56150,72901,86201,1934,57693,19451,81414
92267,75059,58170,1966,34348,76926,41557
15785,56011,85243,2019,89145,2867,24499
97912,98444,58746,2019,47376,98320,33554
75364,33567,44990,2060,81758,39122,5522
69578,87452,43787,2088,93878,88121,58928
69578,87452,43787,2088,21840,30453,4578
43490,89917,8817,2098,24739,51508,32797
88171,85053,68212,2140,60827,61287,95216
99724,66705,74527,2170,48748,17389,90457
85847,5784,62683,2251,9227,28896,23899
79684,12870,71140,2253,49108,18708,39669
87484,90542,78292,2280,55731,45767,41428
3302,40793,22379,2280,71058,10421,27906
54678,36069,47369,2281,71058,10421,27906
49662,36999,71981,2319,62838,58651,19072
46586,60350,77087,2347,13629,91013,25903
68139,81700,34200,2406,49015,79055,6856
72085,46950,10521,2422,69560,46673,8688
30123,90268,29387,2422,2533,93015,48516
72401,91497,52556,2424,2533,93015,48516
89686,95938,44288,2476,93376,52018,39708
11535,71666,94705,2476,51650,34132,59899
96467,73532,26510,2494,96814,46507,86377
8577,71718,36676,2622,50276,60970,99954
99863,21540,93252,2722,56894,47048,26435
77897,66855,7577,2724,79425,77560,39083
64765,64548,33519,2769,756,11777,27667
78373,47975,25589,2862,33936,85914,74379
16188,15050,15580,2879,87606,32835,79066
83611,23056,44454,2880,81125,351,47675
56214,65164,91547,2891,80376,5578,35853
