D0,D1,D2,D3=B0,B1,B2,B3
79013,37020,20866,240,8518,35261,75988
5757,51713,2229,406,96915,90659,95173
59811,12915,77648,450,57367,44363,48758
98310,9232,82654,513,25083,41121,89662
68465,1719,79518,754,78776,31581,83947
5235,47709,87081,840,54588,64428,73149
66626,97891,10215,890,72902,95099,2398
99632,15438,10893,978,96074,10974,52895
67119,10223,38771,1436,95386,25767,16175
17768,65267,28963,1448,98885,88763,32057
59424,56193,86075,1514,87230,87626,59028
84330,5379,51137,1799,59757,36228,56255
28518,76671,88099,1804,57650,87502,36559
85260,10689,56350,1819,46114,81162,91028
40779,4352,44588,1926,74192,90665,81486
25950,84604,64720,2063,35054,80247,92443
72964,64113,78572,2076,39784,34506,56698
18477,42171,82689,2225,4549,48547,70601
72293,65207,55441,2257,71922,46247,95891
81576,79549,28640,2257,2436,27903,49732
21613,64158,92184,2350,98332,71562,90570
18201,37644,84887,2515,53776,82596,24922
52985,54447,69679,2654,46106,7456,2517
76537,46802,33479,2680,53764,47379,12589
38980,30928,35543,2694,52054,15698,1314
62255,2407,44729,2742,16160,57586,49017
76687,79060,2093,2946,15209,66653,26707
67737,94814,69108,3001,66971,42901,51630
67737,94814,69108,3001,20044,59545,62242
17797,91268,73957,3001,51865,43951,5263
11544,70189,84819,3001,51865,43951,5263
17797,91268,73957,3001,20044,59545,62242
11544,70189,84819,3001,51865,43951,5263
82231,27884,45957,3229,60039,68400,67357
9265,38549,32482,3229,27507,93702,21422
82021,99315,49330,3263,21396,11748,65075
65714,85100,33113,3265,55683,59457,70575
6743,72867,50751,3371,10016,92280,29272
1040,57823,96127,3478,69282,73321,34611
26812,14027,42503,3493,28183,15411,26951
64012,95905,30691,3827,67186,66399,81167
84068,5984,39920,3843,62196,19888,17913
27249,94724,59749,3975,68538,31034,54720
92692,18315,74892,3982,90946,17627,1723
90317,91073,31681,4176,88414,18616,4176
1577,63188,96342,4177,75534,14075,3383
19677,21009,18434,4367,26043,73265,6166
33133,97335,61563,4458,41205,73711,98139
98301,97079,22798,4489,50205,67868,68140
27045,69480,15643,4650,72477,37637,20649
14313,30424,97184,4759,11864,1313,96010
29277,43115,15521,4830,69464,47470,97376
98757,24331,1445,4858,81919,44045,13214
99213,9406,71497,4899,53562,67709,88856
25185,42650,79508,4979,98244,9804,88604
95137,60215,16437,5073,44713,33811,62189
85784,25654,44282,5114,18276,2335,41860
70786,90891,44161,5167,24154,8935,36350
68636,2633,40628,5190,93176,50079,13384
97482,30892,72748,5190,77720,64284,40202
77270,72258,44860,5207,77720,64284,40202
57576,77216,64266,5255,30199,39540,65493
81842,41008,6273,5437,27130,81097,94309
55106,53025,5029,5443,62673,37352,29889
94209,73894,80413,5444,73361,76236,78012
2299,81316,43483,5444,44922,58931,67171
62632,84593,62526,5564,17682,27841,94146
95204,56119,11268,5674,56877,73521,82299
63082,52842,34628,5692,60546,87799,97605
81926,10858,69734,5695,5207,21274,2970
12273,66826,6579,5791,20538,10100,15538
31107,99931,70656,5827,47654,6228,65203
6108,48373,91859,5827,66275,3922,60388
85165,95631,59547,6060,87165,69372,22468
24862,31079,98339,6086,87834,10175,40577
51231,275,25910,6134,14806,72036,10200
51905,69490,68564,6234,77807,26110,14763
35035,93823,94937,6234,4880,2356,69894
45500,29032,76418,6336,33383,80192,40585
5305,67474,23468,6481,38014,69103,90028
26532,91947,77134,6754,35846,56291,26094
76780,71733,55876,6903,3588,18901,53398
80016,58053,53730,6903,96776,1473,82597
17502,48321,47226,6988,37062,79173,34765
29546,20721,85697,7098,6506,79784,59410
17256,11390,45937,7120,27119,73084,90279
33488,73709,9246,7213,45502,5480,14110
36528,73758,9115,7268,89353,53042,41528
58154,28590,87293,7301,68361,67180,31241
93928,35014,87590,7362,20445,7444,68169
11269,15358,67195,7399,45956,78033,7200
17741,74007,14005,7551,44527,62651,18213
57644,48762,80142,7551,49009,5376,2545
7417,98643,453,7597,14160,6990,86699
38208,22716,78888,7619,43462,25693,78037
96588,50557,22560,7720,72328,95141,65927
74566,30422,41548,7726,50532,8713,10723
55112,78497,38221,7758,3022,49822,67294
76399,17505,84724,7767,38712,31301,93548
51045,92419,49748,7807,1840,2636,18546
48663,11694,23431,7920,18002,46739,46916
80885,80082,76163,7955,90457,25134,41190
8823,67220,88743,8035,2829,83881,41008
26990,67178,77198,8307,67911,12248,882
27201,38915,63125,8387,72019,1540,16966
99448,72817,44929,8387,54299,70097,22125
64767,19952,60761,8455,23581,32140,83025
83159,92621,36779,8520,11449,64285,29714
96233,76689,5033,8599,71660,50064,77549
53233,26297,86138,8678,45887,3479,4063
5457,70246,19280,8691,79587,74740,35676
56077,25818,7564,9012,96844,89067,76928
6467,10562,53745,9012,48025,31198,37866
34820,84893,51725,9040,42178,51291,4948
27304,13344,39999,9136,53722,25296,15709
64416,87343,26603,9160,50023,20902,16399
1351,19682,29986,9367,89649,78867,13838
35553,93036,25796,9368,81170,15638,30184
72331,80258,62612,9368,21147,27394,99183
50717,72150,34043,9593,81924,76362,72097
71170,72089,84651,9773,37556,57072,51330
51726,27434,10955,9775,55437,28757,56368
68783,17024,59242,9822,25994,35130,11517
22196,4970,81515,9822,85350,56662,43506
83781,38804,88472,9829,85350,56662,43506
72600,51962,76098,9978,52059,85618,92904
53689,90341,10753,9985,41587,52151,12768
73974,43521,78232,10009,19357,61971,95087
75238,35675,57275,10114,19316,63256,47525
2821,78900,82368,10144,19100,28154,96660
47827,76455,74491,10225,92009,78661,7085
51274,25052,55469,10468,47425,47275,6554
72835,27742,39312,10520,35857,12792,27442
48482,55625,40576,10621,78649,92174,84288
50246,31450,30053,10641,19309,80189,4855
11057,7976,76299,10721,85451,46621,29058
28860,33599,77959,10988,48163,90887,11343
58019,23547,19413,11001,18030,79227,68549
46708,62911,86223,11017,92442,51772,48570
53441,28788,47424,11178,9526,65752,46635
67997,68923,63586,11243,37294,43480,87933
50405,1009,94364,11273,78007,30613,18510
82545,51852,33291,11300,83698,59908,35043
78390,49554,219,11302,65737,89488,66853
69452,41127,27708,11526,59688,47290,71313
78751,76726,69576,11574,84705,70306,29953
16972,30294,42027,11702,91451,5812,18337
22205,73619,83922,11702,39305,19261,25849
78811,45561,296,11819,7654,25306,91902
15153,29398,59434,11867,13889,53943,31934
25589,96785,53682,11912,33573,99266,54914
29105,90813,15269,12067,19071,42838,80457
4694,96924,46338,12077,45527,87339,40310
12171,23944,52748,12216,89911,89396,91489
46971,65657,32471,12353,21427,19073,47056
18407,52527,68603,12751,61687,82715,75555
1928,85537,75446,12838,72598,32917,22022
34670,7245,62417,12845,87777,52932,64257
2319,39844,24195,12855,75929,36155,71943
61255,24700,17150,12855,10491,34566,35059
55306,67965,91567,12892,13931,31800,77429
59346,83166,9314,12959,76605,61719,21316
4340,81598,80688,13097,53344,52631,79366
60800,39864,22538,13126,98613,75977,86286
23783,14000,94751,13213,94247,72181,17288
88282,61862,93707,13350,64023,25412,86634
74903,95922,88604,13425,79683,52684,94552
75677,56616,24740,13737,22063,60373,49974
64054,43628,95987,13985,55556,92712,59422
76517,68702,7031,14338,31169,4781,359
63465,11351,5023,14417,25906,51287,79602
54007,34065,41946,14479,95813,77865,87152
81497,15631,48547,14537,48036,69173,95104
27091,13869,218,14537,53309,42124,43240
63934,84459,86538,14565,34683,66968,69474
71925,63700,74775,14632,54467,69595,31701
61185,51400,83414,14632,13557,28560,5899
33506,53710,78221,14810,17278,45337,55507
30686,50273,52535,14903,37157,14321,41809
38130,13059,30632,15008,92735,62168,79625
48489,91873,66336,15037,76189,15588,16012
1422,55099,22962,15057,64952,68535,11493
88205,84273,57752,15294,51721,62555,53776
37208,89148,44133,15401,2377,53279,37346
56407,29805,43671,15750,16320,81516,73682
5309,88827,31829,15899,57375,61903,26390
26116,21698,48966,15899,68626,73350,68875
51319,98306,48302,15978,49299,50001,27284
98704,56696,34223,15996,85707,4354,33456
56350,69673,78596,16121,92823,95257,96743
60855,8720,9216,16127,75196,60063,55914
84565,44271,29594,16164,42029,94113,95730
70012,6320,81081,16262,79487,5488,98264
34617,42045,51326,16311,90672,8566,62712
61277,5630,96952,16383,23766,48376,24316
90128,25832,33597,16435,61061,5962,25479
47753,93355,95349,16449,97012,62179,86960
55438,64323,52427,16516,55279,99633,97015
55438,64323,52427,16516,17343,91856,95329
14816,7873,24518,16811,37106,78794,1245
6459,9445,43299,17270,61547,71774,89818
44603,22176,60004,17319,22712,23299,22272
39801,82924,27672,17333,79382,90460,29473
45568,79948,32919,17343,13588,29405,79722
98076,87267,99187,17365,25099,80458,6626
